0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:28 +0900] "GET /mini_project/LoginCheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:28 +0900] "GET /mini_project/members/MainForm.jsp HTTP/1.1" 200 26652
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:33 +0900] "GET /mini_project/RevList?type=calendar HTTP/1.1" 200 7315
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:33 +0900] "GET /mini_project/util/RevListCalendar.js HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:37 +0900] "GET /mini_project/RoomList?type=member HTTP/1.1" 200 16473
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:37 +0900] "GET /mini_project/data/testroom-3.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:37 +0900] "GET /mini_project/data/ HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:37 +0900] "GET /mini_project/util/RoomListCalendar.js HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:37 +0900] "GET /mini_project/util/CountHead.js HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/members/Conven.jsp HTTP/1.1" 200 12437
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/css/animate.css HTTP/1.1" 200 77017
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/css/icomoon.css HTTP/1.1" 200 84794
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/js/jquery.stellar.min.js HTTP/1.1" 200 12598
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/js/jquery.waypoints.min.js HTTP/1.1" 200 8841
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/js/main.js HTTP/1.1" 200 7972
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/images/bg.jpg HTTP/1.1" 200 379562
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/images/youktang.jpg HTTP/1.1" 200 214050
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/images/burgerking.jpg HTTP/1.1" 200 44581
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/js/scrollax.min.js HTTP/1.1" 200 7478
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/images/market.jpg HTTP/1.1" 200 449423
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/images/seoul_center.jpg HTTP/1.1" 200 87110
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/js/aos.js HTTP/1.1" 200 14245
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 307168
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/images/hotspring.jpg HTTP/1.1" 200 150421
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/images/hospital.jpg HTTP/1.1" 200 72782
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/images/airport.jpg HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/images/grandcanyon.jpg HTTP/1.1" 200 302190
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:40 +0900] "GET /mini_project/style/js/owl.carousel.min.js HTTP/1.1" 200 43243
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:10:45 +0900] "GET /mini_project/MemModify HTTP/1.1" 200 13866
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:11:53 +0900] "GET /mini_project/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:11:53 +0900] "GET /mini_project/LoginCheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:11:53 +0900] "GET /mini_project/members/MainForm.jsp HTTP/1.1" 200 26672
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:11:54 +0900] "GET /mini_project/common/Login.jsp HTTP/1.1" 200 7807
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:11:57 +0900] "POST /mini_project/Login HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:11:57 +0900] "GET /mini_project/LoginCheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:11:57 +0900] "GET /mini_project/adminMain HTTP/1.1" 200 11868
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:11:59 +0900] "GET /mini_project/admin/adminMain HTTP/1.1" 200 11868
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:12:00 +0900] "GET /mini_project/members/Conven.jsp HTTP/1.1" 200 12452
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:12:01 +0900] "GET /mini_project/admin/adminMain HTTP/1.1" 200 11868
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:12:06 +0900] "GET /mini_project/admin/adminMain HTTP/1.1" 200 11868
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:12:07 +0900] "GET /mini_project/admin/MemList HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:12:09 +0900] "GET /mini_project/Login HTTP/1.1" 302 -
